label,text,pred,probability
0,"Such evidence-based consumer facing findings, would certainly provide useful insights on the issue, and also act as fodder for further debate, which would ensure that data nationalism in the garb of additional security does not hurt consumer interests.",0,"tensor([[4.5437, 0.0000]], device='cuda:0')"
0,"Soon after the result was declared, Nath challenged the BJP leadership to topple his government as it has been claiming to do ever since the Congress came to power in December.",0,"tensor([[4.1418, 0.0000]], device='cuda:0')"
1,Need detail breakout of commodity and transport cost firm or interruptible.,1,"tensor([[0.0000, 4.1714]], device='cuda:0')"
1,Send emails to Christi for further assistance on East power desk issues.,1,"tensor([[0.0395, 4.0564]], device='cuda:0')"
1,Please let me know what you find out from Gerald.,1,"tensor([[0.0000, 3.9388]], device='cuda:0')"
0,"We have not decided anything yet because we were not confirmed whether it's going to be a day/night or day.
NORMAL	Once this is confirmed we will take it from there, he concluded.",0,"tensor([[3.7870, 0.0000]], device='cuda:0')"
0,I think it is a very important first step because it puts in a kind of structure that allows the public transfer and makes it easier to deliver.,0,"tensor([[4.0445, 0.0000]], device='cuda:0')"
0,"Aesthetically, both models boast a ultra-slim design for movie and music enthusiasts to discreetly place in front of their TV or mount on the wall without the need for an additional bracket.",0,"tensor([[4.2582, 0.0000]], device='cuda:0')"
0,"To make handling easier, it was separated along its joints into four parts.",0,"tensor([[4.0173, 0.0000]], device='cuda:0')"
0,"With the return of the Congress strongman, the party is in a state of tussle over its leadership as DK Shivakumar has a stronghold in the state just like Siddaramaiah.",0,"tensor([[3.7493, 0.0000]], device='cuda:0')"
1,Email me back about the new date and your opinion on restaurant choices and type of party.,1,"tensor([[0.0000, 3.9559]], device='cuda:0')"
0,Clashes broke out at several places in Kashmir on Tuesday leaving several persons injured.,0,"tensor([[4.0536, 0.0000]], device='cuda:0')"
1,Just note to make sure that get any updates to the approved Counterparty list.,1,"tensor([[0.0000, 3.9163]], device='cuda:0')"
0,"Air Quality Index in two monitoring stations located in residential areas in south Kolkata was, however, lower a compared to others -- 124 AQI at Ballygunge and 128 at Jadavpur at 7 PM, the official said.",0,"tensor([[4.1205, 0.0000]], device='cuda:0')"
1,Get it done wirelessly at Infowave by tomorrow,1,"tensor([[0.0722, 3.8054]], device='cuda:0')"
0,"Made Sharma has an official website, which has everything about her work as a speaker and an entrepreneur.",0,"tensor([[3.9754, 0.0000]], device='cuda:0')"
0,"The joint statement also points out ""the need for the international community to fulfill its responsibilities towards preventing any attacks on the sovereignty of States"".",0,"tensor([[4.0333, 0.0000]], device='cuda:0')"
0,"And I think one of the things that we do is to know when there is a crisis, you can go from a bad situation to a terrible situation, and then there is a demand collapse.",0,"tensor([[4.1494, 0.0000]], device='cuda:0')"
1,"Discuss that there are three total contracts, two for Gleason and one for Wheatland.",1,"tensor([[0.4740, 3.5374]], device='cuda:0')"
